Disease,Doctor_Specialist
Fungal infection,Dermatologist
Allergy,Allergist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist
Drug Reaction,Internal Medicine
Peptic ulcer diseae,Gastroenterologist
AIDS,Infectious Disease Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedic
Paralysis (brain hemorrhage),Neurologist
Jaundice,Hepatologist
Malaria,Internal Medicine
Chicken pox,Dermatologist
Dengue,Internal Medicine
Typhoid,Internal Medicine
hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Heart attack,Cardiologist
Pneumonia,Pulmonologist
Arthritis,Rheumatologist
Common Cold,General Physician
